"COUNTRY","POPULATION (M)","GDP (B, USD)","G20 RANK","OECD RANK","ASIA RANK","OVERALL RANK","POST CITY","POST COUNTRY","TYPE OF POST","POST TYPE TITLE"
"China","1378.7","11199","2","","1","2","Maputo","Mozambique","Embassy / High Commission","Embassy"
"China","1378.7","11199","2","","1","2","Yangon","Myanmar","Embassy / High Commission","Embassy"
"China","1378.7","11199","2","","1","2","Windhoek","Namibia","Embassy / High Commission","Embassy"
"China","1378.7","11199","2","","1","2","Kathmandu","Nepal","Embassy / High Commission","Embassy"
"China","1378.7","11199","2","","1","2","The Hague","Netherlands","Embassy / High Commission","Embassy"
"China","1378.7","11199","2","","1","2","Wellington","New Zealand","Embassy / High Commission","Embassy"
"China","1378.7","11199","2","","1","2","Niamey","Niger","Embassy / High Commission","Embassy"
"China","1378.7","11199","2","","1","2","Abuja","Nigeria","Embassy / High Commission","Embassy"
"China","1378.7","11199","2","","1","2","Oslo","Norway","Embassy / High Commission","Embassy"
"China","1378.7","11199","2","","1","2","Muscat","Oman","Embassy / High Commission","Embassy"
"China","1378.7","11199","2","","1","2","Islamabad","Pakistan","Embassy / High Commission","Embassy"
"China","1378.7","11199","2","","1","2","Panama City","Panama","Embassy / High Commission","Embassy"
"China","1378.7","11199","2","","1","2","Port Moresby","Papua New Guinea","Embassy / High Commission","Embassy"
"China","1378.7","11199","2","","1","2","Lima","Peru","Embassy / High Commission","Embassy"
"China","1378.7","11199","2","","1","2","Manila","Philippines","Embassy / High Commission","Embassy"
"China","1378.7","11199","2","","1","2","Warsaw","Poland","Embassy / High Commission","Embassy"
"China","1378.7","11199","2","","1","2","Lisbon","Portugal","Embassy / High Commission","Embassy"
"China","1378.7","11199","2","","1","2","Doha","Qatar","Embassy / High Commission","Embassy"
"China","1378.7","11199","2","","1","2","Bucharest","Romania","Embassy / High Commission","Embassy"
"China","1378.7","11199","2","","1","2","Moscow","Russian Federation","Embassy / High Commission","Embassy"
